playerID,year,stint,tmID,TotalGP,Points,TotalMinutes,TotaloRebounds,TotaldRebounds,TotalRebounds,TotalAssists,TotalSteals,TotalBlocks,TotalTurnovers,TotalPF,TotalfgAttempted,TotalfgMade,TotalftAttempted,TotalftMade,TotalthreeAttempted,TotalthreeMade,TotalGS,TotalDQ
milleke01w,10,0,MIN,34,150,675,19,55,74,67,24,2,50,56,149,54,22,20,66,22,25,0
millsta01w,1,0,WAS,33,141,316,41,42,83,9,10,8,40,78,112,50,59,41,0,0,0,1
millsta01w,2,0,WAS,30,64,319,40,65,105,6,14,4,25,72,69,23,31,18,1,0,0,0
millsta01w,3,0,WAS,4,0,17,0,3,3,0,1,0,2,3,4,0,2,0,0,0,0,0
millsta01w,4,0,SAS,29,58,185,27,28,55,7,4,2,23,58,49,20,31,18,0,0,0,1
millsta01w,8,0,DET,5,15,51,10,8,18,2,0,0,6,11,21,6,4,3,0,0,1,0
miltode01w,1,0,LAS,36,428,1119,66,150,216,80,50,31,77,138,330,170,114,86,8,2,36,4
miltode01w,2,0,LAS,39,416,1164,83,130,213,88,56,39,69,123,360,169,82,63,43,15,34,0
miltode01w,3,0,LAS,38,440,1170,74,178,252,53,60,44,105,144,331,159,120,92,66,30,28,3
miltode01w,4,0,LAS,40,547,1424,79,198,277,89,66,54,99,149,434,186,178,142,79,33,39,4
miltode01w,5,0,LAS,19,186,604,35,55,90,31,23,10,48,63,161,65,62,45,37,11,19,1
miltode01w,6,0,WAS,33,394,1069,45,127,172,58,57,18,75,117,331,138,99,79,119,39,30,4
miltode01w,7,0,WAS,25,363,744,30,100,130,53,38,18,73,92,294,136,65,53,88,38,22,2
miltode01w,8,0,WAS,34,456,1141,45,172,217,55,52,38,121,107,473,165,116,98,119,28,34,2
miltode01w,9,0,LAS,37,495,1222,78,154,232,84,42,22,112,132,403,189,108,83,95,34,37,0
miltode01w,10,0,LAS,39,392,1233,67,125,192,86,51,9,87,98,379,149,90,66,95,28,39,1
mitchle01w,9,0,NYL,40,160,580,14,45,59,105,17,3,45,48,126,48,48,40,57,24,5,0
mitchle01w,10,0,NYL,34,80,436,8,33,41,76,9,2,26,46,100,30,6,6,52,14,2,0
moeggli01w,7,0,CHI,27,58,277,27,19,46,17,10,6,15,14,63,20,30,14,12,4,1,0
moeggli01w,8,0,CHI,23,37,206,26,5,31,6,3,2,10,15,41,17,5,2,6,1,0,0
moisead01w,2,0,PHO,7,41,123,4,12,16,17,6,0,16,11,36,14,12,9,12,4,0,0
moisead01w,3,0,PHO,32,193,619,15,45,60,79,30,3,72,53,164,63,60,48,66,19,4,0
moisead01w,8,0,PHO,4,7,31,3,4,7,3,3,0,10,2,5,2,2,2,1,1,0,0
montaan01w,10,0,MIN,16,35,169,15,11,26,19,9,0,12,17,36,14,2,2,15,5,1,0
montgre01w,10,0,MIN,34,306,764,15,51,66,72,25,9,66,37,250,102,72,60,121,42,9,0
mooreja01w,3,0,IND,20,42,134,9,21,30,3,6,1,14,19,40,16,14,10,1,0,2,0
mooreje01w,6,1,CHA,6,3,49,1,4,5,2,0,0,4,9,3,1,2,1,0,0,0,1
mooreje01w,6,2,LAS,15,8,109,4,4,8,1,4,0,5,21,8,4,0,0,0,0,0,0
mooreje01w,7,0,LAS,39,171,742,40,74,114,29,24,9,31,93,158,70,40,31,2,0,38,1
mooreje01w,8,0,LAS,29,123,440,36,52,88,18,6,6,33,64,121,48,42,27,0,0,17,1
mooreje01w,9,0,LAS,34,47,361,17,33,50,20,4,5,20,56,52,17,18,13,0,0,2,0
mooreje01w,10,0,IND,41,170,733,49,64,113,17,24,8,35,109,145,65,54,40,1,0,9,1
moorelo01w,6,0,NYL,25,22,183,4,23,27,19,10,0,25,12,23,9,9,4,2,0,0,0
moorelo01w,7,0,NYL,34,208,952,31,113,144,122,61,10,65,90,201,68,51,37,96,35,29,0
moorelo01w,8,0,NYL,37,358,1276,41,112,153,178,81,5,105,97,321,131,62,36,152,60,36,1
moorelo01w,9,0,NYL,35,197,987,32,101,133,157,53,4,88,82,209,70,32,24,106,33,35,0
moorelo01w,10,0,NYL,34,215,941,19,106,125,133,66,2,78,55,233,78,48,33,100,26,32,0
moorena01w,8,0,MIN,19,21,87,3,12,15,4,3,0,7,21,26,7,8,6,8,1,0,0
moorena01w,9,0,MIN,16,48,125,7,8,15,5,4,3,3,18,47,15,27,15,9,3,0,0
mooreta01w,3,1,MIA,5,28,83,3,4,7,10,7,0,11,16,25,8,10,10,9,2,3,0
mooreta01w,3,2,MIN,26,196,653,20,56,76,78,23,9,74,65,172,63,53,44,68,26,20,0
mooreta01w,4,1,DET,15,21,66,3,6,9,4,4,2,6,5,16,8,6,5,4,0,0,0
mooreta01w,4,2,PHO,11,33,110,3,16,19,8,5,4,10,9,26,11,13,11,5,0,0,0
mooreta01w,5,0,PHO,32,82,387,7,21,28,53,26,9,34,46,61,27,29,25,10,3,0,0
mooreta01w,6,0,NYL,7,11,48,0,7,7,6,0,0,4,6,6,4,2,2,3,1,0,0
mooreta01w,7,0,LAS,38,237,721,19,64,83,76,36,9,46,66,164,78,77,60,55,21,37,0
mooreta01w,8,0,HOU,15,58,289,8,17,25,44,16,2,32,38,57,21,12,12,15,4,9,1
moosca01w,3,0,MIA,2,0,6,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
mosbybe01w,8,0,WAS,28,83,279,25,53,78,10,8,6,19,22,62,30,28,23,1,0,0,0
mosbybe01w,9,0,WAS,24,48,183,17,36,53,2,2,7,12,20,51,20,12,8,0,0,1,0
mosbybe01w,10,0,WAS,24,46,169,15,22,37,3,8,1,16,29,47,17,14,12,1,0,0,1
moweje01w,2,0,POR,5,6,17,1,2,3,0,0,1,2,5,3,3,0,0,0,0,0,0
moweje01w,3,0,POR,5,1,16,1,0,1,0,0,0,1,3,1,0,2,1,0,0,0,0
moweje01w,4,0,LAS,1,0,21,0,1,1,0,0,1,1,3,2,0,0,0,0,0,0,0
mulitna01w,1,0,UTA,22,99,291,12,22,34,6,4,6,30,37,69,41,20,15,3,2,3,0
murphsh01w,8,0,MIN,32,165,436,50,54,104,17,19,8,20,48,145,54,46,39,66,18,0,0
murphsh01w,9,2,DET,13,33,122,8,13,21,7,6,2,9,16,40,12,6,4,19,5,3,0
murphsh01w,9,1,MIN,2,2,5,2,0,2,0,0,0,0,2,5,1,0,0,0,0,0,0
murphsh01w,9,3,WAS,2,2,11,3,0,3,1,0,0,2,1,3,1,0,0,1,0,0,0
murphsh01w,10,0,IND,28,100,195,24,20,44,11,6,2,9,32,94,34,26,21,34,11,0,0
nagyan01w,1,0,WAS,23,97,694,10,53,63,118,17,8,55,55,79,31,26,21,39,14,23,0
nagyan01w,2,0,NYL,27,42,243,0,13,13,27,2,4,26,27,35,16,7,4,12,6,0,1
nagyan01w,3,0,SAC,24,34,409,3,26,29,73,10,4,31,51,44,12,16,7,14,3,8,1
nanch01w,10,0,CHI,26,97,320,23,32,55,6,8,9,29,38,95,46,8,5,0,0,5,0
ndiayas01w,1,0,DET,32,346,868,65,122,187,40,23,22,64,87,333,158,51,29,6,1,32,0
ndiayas01w,2,0,DET,32,376,913,60,111,171,49,22,28,73,82,341,156,76,59,15,5,31,1
ndiayas01w,3,0,DET,32,275,776,44,118,162,39,17,12,58,65,270,126,39,23,2,0,32,0
ndiayas01w,4,0,DET,13,21,76,5,9,14,2,3,1,9,4,21,10,4,1,0,0,2,0
ndiayas01w,5,0,IND,10,12,74,2,9,11,4,1,3,8,7,19,5,4,2,0,0,0,0
ndiayas01w,7,0,HOU,11,35,127,10,20,30,8,1,1,10,14,35,16,6,3,0,0,3,0
ndiayas01w,8,0,SEA,5,10,62,4,3,7,0,2,1,6,6,15,5,0,0,1,0,0,0
ndongem01w,7,0,LAS,17,20,111,15,11,26,3,7,8,6,23,27,7,13,6,0,0,0,0
nemcoev01w,1,0,CLE,14,185,443,9,32,41,23,15,8,27,29,164,67,24,22,71,29,14,0
nemcoev01w,2,0,CLE,8,34,113,1,9,10,8,2,5,6,9,38,13,8,5,15,3,2,0
nevescl01w,1,0,DET,30,179,636,8,27,35,59,31,1,55,30,166,63,30,25,92,28,20,0
nevescl01w,2,0,DET,22,95,407,3,26,29,34,21,0,28,21,94,34,8,8,52,19,15,0
nevescl01w,3,0,MIA,20,37,194,0,7,7,25,8,0,13,18,31,11,16,11,21,4,0,0
newtoch01w,6,0,SAC,42,194,897,36,44,80,63,26,9,48,121,191,78,48,30,29,8,42,0
newtoch01w,7,0,CHI,27,176,648,19,52,71,58,36,7,40,69,155,52,80,59,49,13,11,0
newtoch01w,8,0,SAC,37,228,742,32,37,69,49,36,7,45,109,209,77,80,62,34,12,37,2
newtoch01w,9,0,SAC,29,130,437,13,24,37,31,32,1,27,64,102,43,53,41,8,3,0,1
newtoch01w,10,0,SAC,23,68,336,10,20,30,39,18,3,16,31,70,26,18,12,12,4,0,0
ngarsch01w,7,0,NYL,15,27,92,11,7,18,5,5,2,8,10,29,8,25,11,2,0,0,0
ngoyibe01w,3,0,NYL,10,14,22,2,6,8,0,0,2,1,4,10,6,5,2,0,0,0,0
ngoyibe01w,6,0,SAS,26,111,251,17,44,61,5,5,2,25,45,81,46,26,19,0,0,0,1
ngoyibe01w,7,0,CHI,30,302,627,65,105,170,28,14,7,60,89,231,122,98,58,0,0,23,1
